ep_id,ep_name,release_date,book_only
1,Devil on my Back,4/28/15,1
2,The Giver,5/12/15,0
3,City of Ember,5/26/15,0
4,The Tripod Saga,6/9/15,1
5,The Hunger Games,6/23/15,0
6,A Boy and His Dog,7/7/15,0
7,The Maze Runner,7/21/15,0
8,Little Brother,8/4/15,1
9,Nausicaa,8/18/15,0
10,Catching Fire,9/1/15,0
11,Uglies,9/15/15,1
12,Battle Royale,10/13/15,0
13,Steelheart,10/27/15,1
14,Ender's Game,11/10/15,0
15,How I Live Now,11/24/15,0
16,Mortal Engines,1/4/16,1
17,Knights of Sidonia,1/18/16,0
